,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,205,306,35.0,23.0,12.0,1.0,7130.0,1300.0,3660.0,2550.0,0.0,11.666666666666666,91.27729924342869,43.60346537265202,47.67383387077667,35.0,23.0,12.0,1.0,7130.0,1300.0,3660.0,2550.0,0.0,11.666666666666666,91.27729924342869,43.60346537265202,47.67383387077667,f,-101
1,255,145,35.0,23.0,12.0,1.0,7130.0,1300.0,3660.0,2550.0,0.0,11.666666666666666,91.27729924342869,43.60346537265202,47.67383387077667,35.0,23.0,12.0,1.0,7130.0,1300.0,3660.0,2550.0,0.0,11.666666666666666,91.27729924342869,43.60346537265202,47.67383387077667,f,110
2,305,256,35.0,23.0,12.0,1.0,7130.0,1300.0,3660.0,2550.0,0.0,11.666666666666666,91.27729924342869,43.60346537265202,47.67383387077667,35.0,23.0,12.0,1.0,7130.0,1300.0,3660.0,2550.0,0.0,11.666666666666666,91.27729924342869,43.60346537265202,47.67383387077667,f,49
3,285,245,24.0,20.0,15.0,1.0,5462.0,655.0,2800.0,2050.0,2.0,13.666666666666666,46.42304753036566,57.211435002357454,-10.788387471991795,24.0,20.0,15.0,1.0,5462.0,655.0,2800.0,2050.0,2.0,13.666666666666666,46.42304753036566,57.211435002357454,-10.788387471991795,qf,40
4,246,185,24.0,20.0,15.0,1.0,5462.0,655.0,2800.0,2050.0,2.0,13.666666666666666,46.42304753036566,57.211435002357454,-10.788387471991795,24.0,20.0,15.0,1.0,5462.0,655.0,2800.0,2050.0,2.0,13.666666666666666,46.42304753036566,57.211435002357454,-10.788387471991795,qf,61
5,215,250,32.0,17.0,18.0,1.0,6060.0,955.0,2900.0,2150.0,0.0,19.666666666666668,62.8194805686602,51.81378475581449,11.005695812845701,32.0,17.0,18.0,1.0,6060.0,955.0,2900.0,2150.0,0.0,19.666666666666668,62.8194805686602,51.81378475581449,11.005695812845701,qf,-35
6,160,145,32.0,17.0,18.0,1.0,6060.0,955.0,2900.0,2150.0,0.0,19.666666666666668,62.8194805686602,51.81378475581449,11.005695812845701,32.0,17.0,18.0,1.0,6060.0,955.0,2900.0,2150.0,0.0,19.666666666666668,62.8194805686602,51.81378475581449,11.005695812845701,qf,15
7,115,195,32.0,17.0,18.0,1.0,6060.0,955.0,2900.0,2150.0,0.0,19.666666666666668,62.8194805686602,51.81378475581449,11.005695812845701,32.0,17.0,18.0,1.0,6060.0,955.0,2900.0,2150.0,0.0,19.666666666666668,62.8194805686602,51.81378475581449,11.005695812845701,qf,-80
8,250,305,19.0,20.0,15.0,1.0,6315.0,615.0,3000.0,2600.0,0.0,13.0,73.45033514106873,50.01206674583462,23.43826839523412,19.0,20.0,15.0,1.0,6315.0,615.0,3000.0,2600.0,0.0,13.0,73.45033514106873,50.01206674583462,23.43826839523412,qf,-55
9,145,355,19.0,20.0,15.0,1.0,6315.0,615.0,3000.0,2600.0,0.0,13.0,73.45033514106873,50.01206674583462,23.43826839523412,19.0,20.0,15.0,1.0,6315.0,615.0,3000.0,2600.0,0.0,13.0,73.45033514106873,50.01206674583462,23.43826839523412,qf,-210
10,215,190,28.0,19.0,17.0,0.0,5930.0,1200.0,3260.0,2100.0,0.0,16.666666666666668,63.85236230265241,52.98191595785633,10.87044634479608,28.0,19.0,17.0,0.0,5930.0,1200.0,3260.0,2100.0,0.0,16.666666666666668,63.85236230265241,52.98191595785633,10.87044634479608,qf,25
11,215,305,28.0,19.0,17.0,0.0,5930.0,1200.0,3260.0,2100.0,0.0,16.666666666666668,63.85236230265241,52.98191595785633,10.87044634479608,28.0,19.0,17.0,0.0,5930.0,1200.0,3260.0,2100.0,0.0,16.666666666666668,63.85236230265241,52.98191595785633,10.87044634479608,qf,-90
12,215,305,28.0,19.0,17.0,0.0,5930.0,1200.0,3260.0,2100.0,0.0,16.666666666666668,63.85236230265241,52.98191595785633,10.87044634479608,28.0,19.0,17.0,0.0,5930.0,1200.0,3260.0,2100.0,0.0,16.666666666666668,63.85236230265241,52.98191595785633,10.87044634479608,qf,-90
13,145,170,29.0,18.0,17.0,1.0,5795.0,830.0,2820.0,2000.0,0.0,18.0,51.08433331916503,49.406975006492274,1.6773583126727587,29.0,18.0,17.0,1.0,5795.0,830.0,2820.0,2000.0,0.0,18.0,51.08433331916503,49.406975006492274,1.6773583126727587,qm,-25
14,70,105,13.0,14.0,18.0,1.0,4712.0,975.0,2840.0,1300.0,2.0,26.0,30.181565268310873,55.73928892115308,-25.557723652842213,13.0,14.0,18.0,1.0,4712.0,975.0,2840.0,1300.0,2.0,26.0,30.181565268310873,55.73928892115308,-25.557723652842213,qm,-35
15,330,55,21.0,23.0,11.0,1.0,6836.0,1215.0,3420.0,2600.0,1.0,9.666666666666666,89.60329725695544,32.09522121563245,57.508076041322994,21.0,23.0,11.0,1.0,6836.0,1215.0,3420.0,2600.0,1.0,9.666666666666666,89.60329725695544,32.09522121563245,57.508076041322994,qm,275
16,110,170,29.0,15.0,20.0,1.0,5645.0,615.0,3000.0,1850.0,0.0,23.333333333333332,51.421651264647544,67.08507161766276,-15.66342035301522,29.0,15.0,20.0,1.0,5645.0,615.0,3000.0,1850.0,0.0,23.333333333333332,51.421651264647544,67.08507161766276,-15.66342035301522,qm,-60
17,140,155,16.0,16.0,18.0,2.0,4851.0,825.0,2820.0,1450.0,1.0,21.333333333333332,39.1351261330694,43.93847108703386,-4.8033449539644595,16.0,16.0,18.0,2.0,4851.0,825.0,2820.0,1450.0,1.0,21.333333333333332,39.1351261330694,43.93847108703386,-4.8033449539644595,qm,-15
18,110,110,9.0,13.0,17.0,2.0,4956.0,990.0,2760.0,1600.0,1.0,24.0,39.93406720582009,51.53368210812385,-11.599614902303761,9.0,13.0,17.0,2.0,4956.0,990.0,2760.0,1600.0,1.0,24.0,39.93406720582009,51.53368210812385,-11.599614902303761,qm,0
19,190,140,35.0,12.0,21.0,0.0,5105.0,790.0,2660.0,1800.0,0.0,28.666666666666668,56.55148821037238,63.5842621517638,-7.032773941391421,35.0,12.0,21.0,0.0,5105.0,790.0,2660.0,1800.0,0.0,28.666666666666668,56.55148821037238,63.5842621517638,-7.032773941391421,qm,50
20,250,50,23.0,25.0,11.0,0.0,6565.0,1280.0,3440.0,2600.0,0.0,7.666666666666667,76.63344794415626,31.351192936385246,45.282255007771006,23.0,25.0,11.0,0.0,6565.0,1280.0,3440.0,2600.0,0.0,7.666666666666667,76.63344794415626,31.351192936385246,45.282255007771006,qm,200
21,240,107,26.0,24.0,11.0,1.0,6685.0,830.0,2940.0,2650.0,0.0,10.666666666666666,77.59424116834674,47.35527209382057,30.23896907452617,26.0,24.0,11.0,1.0,6685.0,830.0,2940.0,2650.0,0.0,10.666666666666666,77.59424116834674,47.35527209382057,30.23896907452617,qm,133
22,190,125,23.0,17.0,18.0,0.0,5601.0,965.0,3140.0,1550.0,1.0,19.666666666666668,55.97928985837607,51.20097290699139,4.778316951384674,23.0,17.0,18.0,0.0,5601.0,965.0,3140.0,1550.0,1.0,19.666666666666668,55.97928985837607,51.20097290699139,4.778316951384674,qm,65
23,85,100,17.0,20.0,16.0,0.0,5800.0,680.0,2900.0,1950.0,0.0,16.0,49.838928414935616,43.73382876850553,6.105099646430079,17.0,20.0,16.0,0.0,5800.0,680.0,2900.0,1950.0,0.0,16.0,49.838928414935616,43.73382876850553,6.105099646430079,qm,-15
24,55,190,27.0,15.0,17.0,1.0,4695.0,900.0,2620.0,1600.0,0.0,23.0,34.66085658654581,53.510054944114415,-18.849198357568604,27.0,15.0,17.0,1.0,4695.0,900.0,2620.0,1600.0,0.0,23.0,34.66085658654581,53.510054944114415,-18.849198357568604,qm,-135
25,205,120,16.0,19.0,15.0,2.0,6305.0,960.0,3240.0,2400.0,0.0,16.0,71.07976419523084,40.572052854045324,30.507711341185512,16.0,19.0,15.0,2.0,6305.0,960.0,3240.0,2400.0,0.0,16.0,71.07976419523084,40.572052854045324,30.507711341185512,qm,85
26,145,50,16.0,23.0,13.0,0.0,5842.0,735.0,2860.0,2250.0,2.0,15.333333333333334,58.581004374050885,50.63252743634133,7.948476937709562,16.0,23.0,13.0,0.0,5842.0,735.0,2860.0,2250.0,2.0,15.333333333333334,58.581004374050885,50.63252743634133,7.948476937709562,qm,95
27,140,195,32.0,14.0,19.0,0.0,5056.0,730.0,2560.0,1900.0,1.0,25.333333333333332,51.077802884867005,58.09666819145963,-7.018865306592613,32.0,14.0,19.0,0.0,5056.0,730.0,2560.0,1900.0,1.0,25.333333333333332,51.077802884867005,58.09666819145963,-7.018865306592613,qm,-55
28,135,165,30.0,7.0,19.0,0.0,4385.0,755.0,2240.0,1650.0,0.0,34.666666666666664,40.996820320261975,70.07486341442451,-29.078043094162528,30.0,7.0,19.0,0.0,4385.0,755.0,2240.0,1650.0,0.0,34.666666666666664,40.996820320261975,70.07486341442451,-29.078043094162528,qm,-30
29,165,60,25.0,21.0,14.0,1.0,6360.0,1195.0,3180.0,2250.0,0.0,14.333333333333334,72.75967289807052,45.1459180065631,27.613754891507423,25.0,21.0,14.0,1.0,6360.0,1195.0,3180.0,2250.0,0.0,14.333333333333334,72.75967289807052,45.1459180065631,27.613754891507423,qm,105
30,85,165,11.0,14.0,17.0,2.0,5019.0,705.0,2880.0,1650.0,4.0,23.333333333333332,35.555566906199005,55.34415232526345,-19.788585419064447,11.0,14.0,17.0,2.0,5019.0,705.0,2880.0,1650.0,4.0,23.333333333333332,35.555566906199005,55.34415232526345,-19.788585419064447,qm,-80
31,55,255,20.0,14.0,21.0,1.0,4756.0,920.0,2800.0,1250.0,1.0,26.333333333333332,30.72616590318904,63.724800878498684,-32.99863497530964,20.0,14.0,21.0,1.0,4756.0,920.0,2800.0,1250.0,1.0,26.333333333333332,30.72616590318904,63.724800878498684,-32.99863497530964,qm,-200
32,145,195,28.0,19.0,16.0,1.0,6095.0,740.0,2920.0,2500.0,0.0,15.666666666666666,68.2352946838388,49.552133921483254,18.683160762355552,28.0,19.0,16.0,1.0,6095.0,740.0,2920.0,2500.0,0.0,15.666666666666666,68.2352946838388,49.552133921483254,18.683160762355552,qm,-50
33,185,90,22.0,19.0,16.0,1.0,5353.0,985.0,2980.0,1650.0,3.0,18.666666666666668,43.68567842468394,47.73917755707288,-4.05349913238893,22.0,19.0,16.0,1.0,5353.0,985.0,2980.0,1650.0,3.0,18.666666666666668,43.68567842468394,47.73917755707288,-4.05349913238893,qm,95
34,90,196,21.0,12.0,19.0,1.0,5005.0,830.0,2840.0,1450.0,0.0,28.0,45.48089181357806,57.90139436825587,-12.42050255467781,21.0,12.0,19.0,1.0,5005.0,830.0,2840.0,1450.0,0.0,28.0,45.48089181357806,57.90139436825587,-12.42050255467781,qm,-106
35,225,80,23.0,19.0,17.0,0.0,6234.0,745.0,3160.0,2550.0,4.0,15.666666666666666,70.72023329545404,56.77071439567917,13.949518899774858,23.0,19.0,17.0,0.0,6234.0,745.0,3160.0,2550.0,4.0,15.666666666666666,70.72023329545404,56.77071439567917,13.949518899774858,qm,145
36,170,145,12.0,18.0,17.0,1.0,5600.0,985.0,3080.0,1900.0,0.0,18.0,45.99103773474409,43.50340250129375,2.48763523345035,12.0,18.0,17.0,1.0,5600.0,985.0,3080.0,1900.0,0.0,18.0,45.99103773474409,43.50340250129375,2.48763523345035,qm,25
37,50,410,22.0,20.0,15.0,1.0,5260.0,850.0,2740.0,1950.0,0.0,13.666666666666666,46.651894045432535,61.53555310045644,-14.8836590550239,22.0,20.0,15.0,1.0,5260.0,850.0,2740.0,1950.0,0.0,13.666666666666666,46.651894045432535,61.53555310045644,-14.8836590550239,qm,-360
38,165,170,18.0,12.0,24.0,0.0,5215.0,1295.0,2960.0,1600.0,0.0,30.0,43.478173204502404,67.08966491925888,-23.61149171475648,18.0,12.0,24.0,0.0,5215.0,1295.0,2960.0,1600.0,0.0,30.0,43.478173204502404,67.08966491925888,-23.61149171475648,qm,-5
39,145,90,29.0,15.0,20.0,0.0,5382.0,770.0,2920.0,1750.0,2.0,24.333333333333332,56.747775386587286,51.49175665512231,5.256018731464992,29.0,15.0,20.0,0.0,5382.0,770.0,2920.0,1750.0,2.0,24.333333333333332,56.747775386587286,51.49175665512231,5.256018731464992,qm,55
40,90,190,15.0,14.0,22.0,0.0,5237.0,780.0,2840.0,1650.0,2.0,23.333333333333332,40.20905688811237,60.21446334809792,-20.005406459985554,15.0,14.0,22.0,0.0,5237.0,780.0,2840.0,1650.0,2.0,23.333333333333332,40.20905688811237,60.21446334809792,-20.005406459985554,qm,-100
41,250,175,18.0,21.0,10.0,2.0,6500.0,1375.0,3380.0,2350.0,0.0,14.0,80.21426250619855,39.99915099675106,40.215111509447496,18.0,21.0,10.0,2.0,6500.0,1375.0,3380.0,2350.0,0.0,14.0,80.21426250619855,39.99915099675106,40.215111509447496,qm,75
42,90,110,21.0,12.0,17.0,1.0,4536.0,950.0,2640.0,1300.0,1.0,28.0,36.07568886865888,63.009910656172174,-26.934221787513298,21.0,12.0,17.0,1.0,4536.0,950.0,2640.0,1300.0,1.0,28.0,36.07568886865888,63.009910656172174,-26.934221787513298,qm,-20
43,95,90,18.0,22.0,13.0,1.0,6166.0,1075.0,3060.0,2050.0,1.0,12.333333333333334,66.88553542725785,39.046003598149504,27.83953182910834,18.0,22.0,13.0,1.0,6166.0,1075.0,3060.0,2050.0,1.0,12.333333333333334,66.88553542725785,39.046003598149504,27.83953182910834,qm,5
44,170,200,40.0,15.0,21.0,0.0,5850.0,775.0,3000.0,1900.0,0.0,22.666666666666668,51.739201331721716,55.29687570516501,-3.557674373443286,40.0,15.0,21.0,0.0,5850.0,775.0,3000.0,1900.0,0.0,22.666666666666668,51.739201331721716,55.29687570516501,-3.557674373443286,qm,-30
45,100,210,29.0,11.0,19.0,2.0,4570.0,770.0,2280.0,1650.0,0.0,26.333333333333332,31.061871560325816,71.64554758360516,-40.58367602327936,29.0,11.0,19.0,2.0,4570.0,770.0,2280.0,1650.0,0.0,26.333333333333332,31.061871560325816,71.64554758360516,-40.58367602327936,qm,-110
46,145,50,20.0,18.0,17.0,1.0,5725.0,985.0,3020.0,2100.0,0.0,18.333333333333332,48.50903673678237,50.326549509277235,-1.8175127724948676,20.0,18.0,17.0,1.0,5725.0,985.0,3020.0,2100.0,0.0,18.333333333333332,48.50903673678237,50.326549509277235,-1.8175127724948676,qm,95
47,165,185,28.0,13.0,17.0,0.0,5062.0,1055.0,2760.0,1750.0,2.0,26.333333333333332,48.5908354912962,56.880791583050694,-8.289956091754503,28.0,13.0,17.0,0.0,5062.0,1055.0,2760.0,1750.0,2.0,26.333333333333332,48.5908354912962,56.880791583050694,-8.289956091754503,qm,-20
48,95,195,23.0,11.0,21.0,1.0,4630.0,720.0,2440.0,1350.0,0.0,30.0,33.67602290088195,44.5219434090745,-10.845920508192549,23.0,11.0,21.0,1.0,4630.0,720.0,2440.0,1350.0,0.0,30.0,33.67602290088195,44.5219434090745,-10.845920508192549,qm,-100
49,140,195,22.0,14.0,22.0,0.0,5590.0,1070.0,3100.0,1800.0,0.0,24.333333333333332,54.70302673018333,62.29163140929885,-7.588604679115527,22.0,14.0,22.0,0.0,5590.0,1070.0,3100.0,1800.0,0.0,24.333333333333332,54.70302673018333,62.29163140929885,-7.588604679115527,qm,-55
50,105,210,40.0,16.0,19.0,1.0,5191.0,925.0,2760.0,1800.0,1.0,21.333333333333332,35.49426022885603,55.96785708487125,-20.473596856015217,40.0,16.0,19.0,1.0,5191.0,925.0,2760.0,1800.0,1.0,21.333333333333332,35.49426022885603,55.96785708487125,-20.473596856015217,qm,-105
51,95,255,16.0,11.0,20.0,1.0,4133.0,630.0,2400.0,1150.0,3.0,29.333333333333332,27.5888512039184,57.20787200027238,-29.619020796353983,16.0,11.0,20.0,1.0,4133.0,630.0,2400.0,1150.0,3.0,29.333333333333332,27.5888512039184,57.20787200027238,-29.619020796353983,qm,-160
52,195,145,13.0,21.0,14.0,1.0,6150.0,1075.0,3140.0,2200.0,0.0,15.0,67.25502581707688,49.64060226511817,17.61442355195872,13.0,21.0,14.0,1.0,6150.0,1075.0,3140.0,2200.0,0.0,15.0,67.25502581707688,49.64060226511817,17.61442355195872,qm,50
53,190,195,26.0,11.0,25.0,0.0,5052.0,1035.0,2760.0,1650.0,2.0,29.666666666666668,45.861958762115705,67.349774554159,-21.487815792043307,26.0,11.0,25.0,0.0,5052.0,1035.0,2760.0,1650.0,2.0,29.666666666666668,45.861958762115705,67.349774554159,-21.487815792043307,qm,-5
54,265,185,13.0,26.0,10.0,0.0,6580.0,890.0,3080.0,2250.0,0.0,9.666666666666666,70.85596961525242,39.25809598324508,31.59787363200734,13.0,26.0,10.0,0.0,6580.0,890.0,3080.0,2250.0,0.0,9.666666666666666,70.85596961525242,39.25809598324508,31.59787363200734,qm,80
55,160,180,33.0,14.0,22.0,0.0,5745.0,1075.0,3060.0,2150.0,0.0,25.333333333333332,53.726035410328336,59.62598526340627,-5.899949853077929,33.0,14.0,22.0,0.0,5745.0,1075.0,3060.0,2150.0,0.0,25.333333333333332,53.726035410328336,59.62598526340627,-5.899949853077929,qm,-20
56,255,110,14.0,22.0,12.0,2.0,6435.0,1385.0,3440.0,2150.0,0.0,12.333333333333334,69.11990801067726,43.069089461343474,26.050818549333787,14.0,22.0,12.0,2.0,6435.0,1385.0,3440.0,2150.0,0.0,12.333333333333334,69.11990801067726,43.069089461343474,26.050818549333787,qm,145
57,70,175,36.0,15.0,20.0,0.0,5665.0,1040.0,2840.0,1750.0,0.0,23.333333333333332,56.79626956854451,54.68282448529853,2.1134450832459755,36.0,15.0,20.0,0.0,5665.0,1040.0,2840.0,1750.0,0.0,23.333333333333332,56.79626956854451,54.68282448529853,2.1134450832459755,qm,-105
58,145,50,20.0,19.0,17.0,0.0,5231.0,920.0,2960.0,1700.0,1.0,17.333333333333332,45.2406448378214,44.080401708601606,1.1602431292197934,20.0,19.0,17.0,0.0,5231.0,920.0,2960.0,1700.0,1.0,17.333333333333332,45.2406448378214,44.080401708601606,1.1602431292197934,qm,95
59,135,135,20.0,18.0,15.0,3.0,5620.0,1005.0,2880.0,2000.0,0.0,17.333333333333332,49.37141924766447,51.88525483887424,-2.5138355912097743,20.0,18.0,15.0,3.0,5620.0,1005.0,2880.0,2000.0,0.0,17.333333333333332,49.37141924766447,51.88525483887424,-2.5138355912097743,qm,0
60,55,200,13.0,13.0,16.0,0.0,4555.0,770.0,2340.0,1650.0,0.0,26.333333333333332,42.025038456596626,46.9555600865827,-4.930521629986079,13.0,13.0,16.0,0.0,4555.0,770.0,2340.0,1650.0,0.0,26.333333333333332,42.025038456596626,46.9555600865827,-4.930521629986079,qm,-145
